"no","day","date","time","address","district","accident_types","suspect_age","victim_age","suspect_vehicle","victim_vehicle","MD","LB","LR","material_loss"
"1","Thursday","2017-12-28","21:30"," Insinyur Sutami","Tamalanrea","T","21","-","R2","-","-","-","1","500,000"
"2","Sunday","2017-12-31","9:30","Tol reformasi","Tamalanrea","TK","38","26","R6","R4","-","-","-","5,000,000"
"3","Sunday","2017-12-31","16:30"," Perintis Kemerdekaan","Biringkanaya","TK","19","18","R2","R4","-","-","-","500,000"
"4","Friday","2017-12-29","2:30"," Jenderal Sudirman","Ujung Pandang","T","23","-","R2","-","-","-","1","500,000"
"5","Sunday","2017-12-31","17:30"," Tanjung Alang","Mamajang","TM","19","4","R2","-","-","-","1","-"
"6","Monday","2018-01-01","0:15","Urip Sumuharjo","Panakkukang","T","54","-","R4","-","-","-","-","1,000,000"
"7","Saturday","2017-12-30","19:00"," Lamadukelleng","Ujung Pandang","TL","-","22","R2","R2","-","-","2","500,000"
"8","Friday","2017-12-29","17:30"," Pettarani","Panakkukang","TK","38","25","R4","R2","-","-","1","300,000"
"9","Monday","2018-01-01","0:30"," Sungai Saddang Baru","Makassar","TL","-","28","R2","R2","-","-","2","100,000"
"10","Sunday","2017-12-31","13:00"," Gagak","Mariso","OC","34","31","R2","-","-","-","1","-"
"11","Monday","2018-01-01","19:45"," Boulevard","Panakkukang","TL","-","27","R4","R4","-","-","-","100,000"
"12","Monday","2018-01-01","20:10","Urip Sumuharjo","Panakkukang","TK","26","31","R2","R2","-","-","2","500,000"
"13","Saturday","2017-12-30","6:30"," Pettarani","Tamalate","OC","34","-","R4","-","-","-","1","30,000,000"
"14","Monday","2018-01-01","20:30"," Tinumbu","Bontoala","TM","32","7","R2","-","-","-","1","-"
"15","Tuesday","2018-01-02","6:30"," Kecaping","Manggala","OC","29","-","R2","-","-","-","1","300,000"
"16","Tuesday","2018-01-02","7:00","Urip Sumuharjo","Panakkukang","OC","63","-","R2","-","-","-","1","200,000"
"17","Wednesday","2018-01-03","5:55"," Boulevard","Panakkukang","TL","-","69","R4","-","1","-","-","-"
"18","Friday","2017-12-29","6:30"," Tamangapa Raya","Manggala","OC","20","-","R2","-","-","-","1","-"
"19","Monday","2018-01-01","1:30","Urip Sumuharjo","Panakkukang","OC","58","-","R2","-","-","-","1","500,000"
"20","Saturday","2017-12-30","18:00"," Perintis Kemerdekaan","Tamalanrea","OC","16","-","R2","-","-","-","1","500,000"
"21","Tuesday","2018-01-02","19:30"," Insinyur Sutami","Tamalanrea","TK","38","70","R4","R2","-","-","1","2,000,000"
"22","Wednesday","2018-01-03","6:00"," Batara Bira","Biringkanaya","TK","28","22","R2","R2","-","-","2","1,000,000"
"23","Wednesday","2018-01-03","9:00"," Perintis Kemerdekaan","Tamalanrea","OC","54","-","R2","-","-","-","1","-"
"24","Wednesday","2018-01-03","8:05"," Tol Reformasi","Panakkukang","TK","38","29","R2","R2","-","-","2","500,000"
"25","Tuesday","2018-01-02","11:00"," Borong Jambu Raya","Manggala","OC","35","12","R6","-","1","-","-","-"
