address,district,lat,long
Insinyur Sutami,Tamalanrea,-5.0891074,119.4804065
Tol reformasi,Tamalanrea,-5.1102172,119.4431934
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Jenderal Sudirman,Ujung Pandang,-5.1345222,119.4137962
Tanjung Alang,Mamajang,-5.17081705,119.4042571
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Lamadukelleng,Ujung Pandang,-5.1414467,119.4107642
Pettarani,Panakkukang,-5.1487126,119.4380057
Sungai Saddang Baru,Makassar,-5.1468435,119.4250654
Gagak,Mariso,-5.1607133,119.4106525
Boulevard,Panakkukang,-5.1557546,119.4411023
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Pettarani,Tamalate,-5.1738401,119.4313806
Tinumbu,Bontoala,-5.1195488,119.4206733
Kecaping,Manggala,-5.1719111,119.5075228
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Boulevard,Panakkukang,-5.1557546,119.4411023
Tamangapa Raya,Manggala,-5.1767373,119.4843844
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Insinyur Sutami,Tamalanrea,-5.0891074,119.4804065
Batara Bira,Biringkanaya,-5.0884975,119.5063692
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Tol Reformasi,Panakkukang,-5.1322943,119.4403875
Borong Jambu Raya,Manggala,-5.1745192,119.4883637
Malengkeri,Tamalate,-5.1875239,119.4339559
Jenderal Sudirman,Ujung Pandang,-5.1345222,119.4137962
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Cendrawasih,Mariso,-5.155219,119.4137008
Sam Ratulangi,Mariso,-5.1545549,119.4162792
Veteran Utara,Makassar,-5.1392193,119.4233132
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Kijang,Makassar,-5.1459573,119.4198203
Andi Mappaodang,Tamalate,-5.1732205,119.4158686
Pajaiang,Biringkanaya,-5.1048027,119.5252166
Dr. Leimena,Manggala,-5.1499864,119.4710753
Malengkeri,Tamalate,-5.1875239,119.4339559
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Pintu Bandar Udara Internasional Sultan Hasanuddin,Biringkanaya,-5.0700203,119.5319159
Paccerakkang,Biringkanaya,-5.1239434,119.5224673
Datuk Ribandang,Tallo,-5.1288411,119.4304187
Kapasa Raya,Tamalanrea,-5.1029771,119.4940907
Pattimura,Ujung Pandang,-5.1361062,119.4066711
Sungai Saddang,Makassar,-5.1468435,119.4250654
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Perintis Kemerdekaan 16,Tamalanrea,-5.1346841,119.4971927
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Pettarani,Rappocini,-5.1510383,119.4374766
Jipang Raya,Rappocini,-5.1778861,119.4504384
Kapasa Raya,Tamalanrea,-5.1029771,119.4940907
Malengkeri,Tamalate,-5.1875239,119.4339559
Rajawali,Mariso,-5.1487926,119.4096505
Jenderal Ahmad Yani,Ujung Pandang,-5.1329527,119.4103466
Manunggal,Tamalate,-5.1694219,119.4055125
Jenderal Sudirman,Ujung Pandang,-5.1345222,119.4137962
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Abdullah Daeng Sirua,Panakkukang,-5.1513443,119.4494392
Insinyur Sutami,Tamalanrea,-5.0891074,119.4804065
G. Batu Putih,Makassar,-5.1468769,119.4185684
Sultan Alauddin,Tamalate,-5.1682367,119.4209823
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Insinyur Sutami,Tamalanrea,-5.0891074,119.4804065
Kapasa Raya,Tamalanrea,-5.1029771,119.4940907
Raya Kampus Unhas,Tamalanrea,-5.1377601,119.4886605
Aroepala,Rappocini,-5.1724693,119.4530673
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Barawaja,Panakkukang,-5.1357031,119.4402319
Pettarani,Rappocini,-5.1510383,119.4374766
Insinyur Sutami,Tamalanrea,-5.0891074,119.4804065
Pettarani,Panakkukang,-5.1487126,119.4380057
Pettarani,Panakkukang,-5.1487126,119.4380057
Tamangapa Raya,Manggala,-5.1767373,119.4843844
Dangko,Tamalate,-5.1811574,119.4128553
Pettarani,Panakkukang,-5.1487126,119.4380057
Serigala,Mamajang,-5.1607129,119.4210329
Dr. Leimena,Manggala,-5.1499864,119.4710753
Daeng Tata Raya,Tamalate,-5.1850019,119.423432
Jenderal Ahmad Yani,Ujung Pandang,-5.1329527,119.4103466
Bandang,Bontoala,-5.1329092,119.4213666
Mesjid Raya,Bontoala,-5.1333841,119.4274196
Jenderal Sudirman,Ujung Pandang,-5.1345222,119.4137962
Andi Mappaodang,Tamalate,-5.1732205,119.4158686
Kerung-Kerung,Makassar,-5.1402349,119.4257622
Jenderal Ahmad Yani,Ujung Pandang,-5.1329527,119.4103466
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Metro Tanjung Bunga,Tamalate,-5.1661576,119.3917443
Sam Ratulangi,Makassar,-5.1499595,119.4158152
Rusa,Makassar,-5.1502899,119.4217149
Pettarani,Panakkukang,-5.1487126,119.4380057
Letjen Hertasning,Panakkukang,-5.1625545,119.4430925
Pengayoman,Panakkukang,-5.1592732,119.4466246
Telegraph Utama,Biringkanaya,-5.13054,119.5149116
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Poros Perumnas Sudiang,Biringkanaya,-5.102836,119.532664
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Rutan,Rappocini,-5.17339175,119.43726876806642
Cendrawasih,Mariso,-5.155219,119.4137008
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Pajukukang,Tamalate,-5.2019757,119.3874662
Datu Musseng,Ujung Pandang,-5.1434702,119.409872
Mallombassang,Tamalate,-5.1754863,119.4156656
Jenderal Sudirman,Ujung Pandang,-5.1345222,119.4137962
Cendrawasih,Mariso,-5.155219,119.4137008
Sam Ratulangi,Mamajang,-5.1545939,119.4163683
Datu Musseng,Ujung Pandang,-5.1434702,119.409872
Antang Raya,Manggala,-5.1602384,119.4774127
Muhajirin,Tamalate,-5.1863896,119.4323543
Batua Raya,Panakkukang,-5.1496211,119.4605657
Daeng Tata Raya,Tamalate,-5.1850019,119.423432
Pettarani,Rappocini,-5.1510383,119.4374766
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Kima Raya,Biringkanaya,-5.1103799,119.5032456
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Veteran Utara,Makassar,-5.1392193,119.4233132
Pelita Raya,Rappocini,-5.1528655,119.4341715
Urip Sumuharjo,Makassar,-5.1348243,119.4316818
Laikang,Biringkanaya,-5.1040237,119.5375731
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Tala' salapang I,Rappocini,-5.1829836,119.4475458
Profesor Abdurrahman Basalamah,Panakkukang,-5.1471505,119.4492661
Letjen Hertasning,Rappocini,-5.1630661,119.4444202
Veteran Selatan,Mamajang,-5.162773,119.4212589
Gunung Bawakaraeng,Ujung Pandang,-5.1348657,119.4243319
Kerukunan Timur 1,Tamalanrea,-5.1396032,119.5097252
Salodong,Biringkanaya,-5.0751774,119.4830507
Sungai Saddang,Makassar,-5.1468435,119.4250654
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Ujung Bor,Manggala,-5.1656257,119.5074161
Kartini,Ujung Pandang,-5.136049,119.413662
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Cendrawasih,Mariso,-5.155219,119.4137008
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Dg. Regge,Tallo,-5.1249285,119.433072
Andi Mappaodang,Tamalate,-5.1732205,119.4158686
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Veteran Utara,Makassar,-5.1392193,119.4233132
Metro Tanjung Bunga,Mariso,-5.1523252,119.4054678
Borong Raya,Manggala,-5.1620883,119.4635886
Inspeksi PAM,Makassar,-5.1501163,119.4756964
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Pettarani,Panakkukang,-5.1487126,119.4380057
Cendrawasih,Mariso,-5.155219,119.4137008
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Sungai Saddang,Ujung Pandang,-5.1468435,119.4250654
Mesjid Raya,Bontoala,-5.1333841,119.4274196
Perintis Kemerdekaan,Panakkukang,-5.1451058,119.4735564
Inspeksi Kanal,Panakkukang,-5.1313688,119.4518812
Antang Raya,Manggala,-5.1602384,119.4774127
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Kima Raya,Tamalanrea,-5.0948327,119.5073649
Paccerakkang,Biringkanaya,-5.1239434,119.5224673
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Toddopuli Raya,Panakkukang,-5.1634474,119.4522972
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Somba Opu,Ujung Pandang,-5.1393015,119.4067492
Barawaja,Panakkukang,-5.1357031,119.4402319
Sunu,Bontoala,-5.1320485,119.4271119
Thamrin,Ujung Pandang,-5.1365726,119.4091304
Sultan Hasanuddin,Ujung Pandang,-5.1444747,119.4127353
Adipura,Panakkukang,-5.1299635,119.4382732
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Sam Ratulangi,Mariso,-5.1545549,119.4162792
Insinyur Sutami,Biringkanaya,-5.0679484,119.5246223
Pettarani,Panakkukang,-5.1487126,119.4380057
Haji Bau,Mariso,-5.148609,119.4111046
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Pajaiang,Biringkanaya,-5.1048027,119.5252166
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Kima Raya,Biringkanaya,-5.1103799,119.5032456
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Cendrawasih,Mamajang,-5.167086,119.4118044
Veteran Utara,Makassar,-5.1392193,119.4233132
Tamangapa Raya,Manggala,-5.1767373,119.4843844
Monginsidi,Ujung Pandang,-5.1479402,119.4186723
Aroepala,Rappocini,-5.1724693,119.4530673
Manggis,Ujung Pandang,-5.1478124,119.4130717
Batara Bira,Biringkanaya,-5.0884975,119.5063692
Bakung,Biringkanaya,-5.0875939,119.5334226
Paccerakkang,Biringkanaya,-5.1239434,119.5224673
Villa Mutiara,Biringkanaya,-5.0748047,119.49676665181792
Bonto Duri,Tamalate,-5.1752238,119.4269422
Pettarani,Rappocini,-5.1510383,119.4374766
Nipa Nipa,Manggala,-5.1624042,119.5001015
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Pettarani,Panakkukang,-5.1487126,119.4380057
Malengkeri,Tamalate,-5.1875239,119.4339559
Veteran Utara,Makassar,-5.1392193,119.4233132
Sam Ratulangi,Mariso,-5.1545549,119.4162792
Ance Daeng Ngoyo,Panakkukang,-5.1532628,119.443011
Dangko,Tamalate,-5.1811574,119.4128553
Cilallang,Rappocini,-5.1587967,119.4327675
Monginsidi,Makassar,-5.1486033,119.4231664
Pettarani,Rappocini,-5.1510383,119.4374766
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Telegraph Utama,Biringkanaya,-5.13054,119.5149116
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Insinyur Sutami,Biringkanaya,-5.0679484,119.5246223
Gn. Latimojong,Makassar,-5.1342049,119.4196956
Amanagapa,Ujung Pandang,-5.1375303,119.4096708
Metro Tanjung Bunga,Tamalate,-5.1661576,119.3917443
Cendrawasih,Mamajang,-5.167086,119.4118044
Andi Tonro,Tamalate,-5.1719829,119.423857
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Paccerakkang,Biringkanaya,-5.1239434,119.5224673
Tamangapa Raya,Manggala,-5.1767373,119.4843844
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Pettarani,Rappocini,-5.1510383,119.4374766
Profesor Abdurrahman Basalamah,Panakkukang,-5.1471505,119.4492661
Insinyur Sutami,Biringkanaya,-5.0679484,119.5246223
Tamalanrea Raya,Tamalanrea,-5.1358197,119.5070307
Lasuloro,Manggala,-5.1700155,119.4881657
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Tamangapa Raya,Manggala,-5.1767373,119.4843844
Pajukukang,Tamalate,-5.2019757,119.3874662
Metro Tanjung Bunga,Mariso,-5.1523252,119.4054678
Gagak,Mariso,-5.1607133,119.4106525
Pettarani,Rappocini,-5.1510383,119.4374766
Pettarani,Rappocini,-5.1510383,119.4374766
Metro Tanjung Bunga,Tamalate,-5.1661576,119.3917443
Kakatua II,Mariso,-5.1615534,119.4153491
Kapasa Raya,Tamalanrea,-5.1029771,119.4940907
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Gotong Royong,Panakkukang,-5.1444485,119.4368793
Abdullah Daeng Sirua,Manggala,-5.1502262,119.4624701
Andalas,Bontoala,-5.1225458,119.417918
Sultan Alauddin,Tamalate,-5.1682367,119.4209823
Sultan Alauddin,Tamalate,-5.1682367,119.4209823
Cendrawasih,Mamajang,-5.167086,119.4118044
Pettarani,Rappocini,-5.1510383,119.4374766
Insinyur Sutami,Biringkanaya,-5.0679484,119.5246223
Batara Bira,Biringkanaya,-5.0884975,119.5063692
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Kerung-Kerung,Makassar,-5.1402349,119.4257622
Pampang Raya,Panakkukang,-5.136431,119.443415
Sultan Alauddin,Rappocini,-5.176566,119.4363938
Pettarani,Panakkukang,-5.1487126,119.4380057
Banta Bantaeng,Rappocini,-5.1595024,119.4238876
Metro Tanjung Bunga,Tamalate,-5.1661576,119.3917443
Pannampu,Tallo,-5.1184614,119.4264568
Sultan Hasanuddin,Ujung Pandang,-5.1444747,119.4127353
Sultan Hasanuddin,Ujung Pandang,-5.1444747,119.4127353
Toddopuli,Panakkukang,-5.1626055,119.4476516
Cendrawasih,Mariso,-5.155219,119.4137008
Mesjid Muhajirin,Panakkukang,-5.1395135,119.4344078
Veteran Selatan,Mamajang,-5.162773,119.4212589
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Insinyur Sutami,Biringkanaya,-5.0679484,119.5246223
Kapasa Raya,Biringkanaya,-5.0945064,119.4925577
Daeng Tata Raya,Tamalate,-5.1850019,119.423432
Raya Kampus Unhas,Tamalanrea,-5.1377601,119.4886605
Metro Tanjung Bunga,Tamalate,-5.1661576,119.3917443
Pettarani,Rappocini,-5.1510383,119.4374766
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Gunung Bawakaraeng,Bontoala,-5.1348657,119.4243319
Gunung Bawakaraeng,Bontoala,-5.1348657,119.4243319
Kima III,Biringkanaya,-5.1064167,119.5065503
Metro Tanjung Bunga,Tamalate,-5.1661576,119.3917443
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Andi Mappaodang,Tamalate,-5.1732205,119.4158686
Dg. Regge,Tallo,-5.1249285,119.433072
Pettarani,Rappocini,-5.1510383,119.4374766
Andi Tonro,Tamalate,-5.1719829,119.423857
Sultan Alauddin,Tamalate,-5.1682367,119.4209823
DR. Leimena,Manggala,-5.1499864,119.4710753
Nipa Nipa,Manggala,-5.1624042,119.5001015
Abdullah Daeng Sirua,Panakkukang,-5.1513443,119.4494392
Sunu,Tallo,-5.1247334,119.4296097
Andi Mappaodang,Tamalate,-5.1732205,119.4158686
Metro Tanjung Bunga,Tamalate,-5.1661576,119.3917443
Datuk Ditiro,Tallo,-5.1272385,119.431099
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Insinyur Sutami,Biringkanaya,-5.0679484,119.5246223
Jenderal Sudirman,Ujung Pandang,-5.1345222,119.4137962
Adyaksa,Panakkukang,-5.1572501,119.4479499
Bakung,Biringkanaya,-5.0875939,119.5334226
Janggo Paropo,Panakkukang,-5.1492387,119.4589298
Sungai Saddang,Makassar,-5.1468435,119.4250654
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Kaswari,Mariso,-5.1521162,119.4147322
Daeng Tata Raya III,Tamalate,-5.1850019,119.423432
Urip Sumuharjo,Panakkukang,-5.1348243,119.4316818
Thamrin,Ujung Pandang,-5.1365726,119.4091304
Satelit I,Biringkanaya,-5.1290339,119.510128
Pettarani,Panakkukang,-5.1487126,119.4380057
Jipang Raya,Rappocini,-5.1778861,119.4504384
Letjen Hertasning,Rappocini,-5.1630661,119.4444202
Katimbang,Biringkanaya,-5.1389419,119.519489
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Veteran Utara,Makassar,-5.1392193,119.4233132
Puri Raya,Manggala,-5.169771,119.4641834
Sungai Walanae,Makassar,-5.1477926,119.4238128
Parumpa,Biringkanaya,-5.117091,119.5096487
Pettarani,Rappocini,-5.1510383,119.4374766
Waduk Tunggu Pampang,Manggala,-5.169419250000001,119.46930765542896
Jenderal Sudirman,Ujung Pandang,-5.1345222,119.4137962
Andi Mappanyukki,Mariso,-5.1521162,119.4147322
Perintis Kemerdekaan,Tamalanrea,-5.1402715,119.48329437389705
Insinyur Sutami,Biringkanaya,-5.0679484,119.5246223
Perintis Kemerdekaan,Biringkanaya,-5.117784,119.5110136
Sawerigading,Ujung Pandang,-5.1408703,119.4127661
