day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,MD,LB,LR,lat,long
4,21,insinyur sutami,tamalanrea,2,4,4,-,-,1,-5.0891074,119.4804065
3,9,tol reformasi,tamalanrea,4,8,7,-,-,-,-5.1102172,119.4431934
3,16,perintis kemerdekaan,biringkanaya,4,4,7,-,-,-,-5.117784,119.5110136
0,2,jenderal sudirman,ujung pandang,2,4,4,-,-,1,-5.1345222,119.4137962
3,17,tanjung alang,mamajang,6,4,4,-,-,1,-5.17081705,119.4042571
1,0,urip sumuharjo,panakkukang,2,6,4,-,-,-,-5.1348243,119.4316818
2,19,lamadukelleng,ujung pandang,5,4,5,-,-,2,-5.1414467,119.4107642
0,17,pettarani,panakkukang,4,6,5,-,-,1,-5.1487126,119.4380057
1,0,sungai saddang baru,makassar,5,4,5,-,-,2,-5.1468435,119.4250654
3,13,gagak,mariso,1,4,4,-,-,1,-5.1607133,119.4106525
1,19,boulevard,panakkukang,5,6,7,-,-,-,-5.1557546,119.4411023
1,20,urip sumuharjo,panakkukang,4,4,5,-,-,2,-5.1348243,119.4316818
2,6,pettarani,tamalate,1,6,4,-,-,1,-5.1738401,119.4313806
1,20,tinumbu,bontoala,6,4,4,-,-,1,-5.1195488,119.4206733
5,6,kecaping,manggala,1,4,4,-,-,1,-5.1719111,119.5075228
5,7,urip sumuharjo,panakkukang,1,4,4,-,-,1,-5.1348243,119.4316818
6,5,boulevard,panakkukang,5,6,4,1,-,-,-5.1557546,119.4411023
0,6,tamangapa raya,manggala,1,4,4,-,-,1,-5.1767373,119.4843844
1,1,urip sumuharjo,panakkukang,1,4,4,-,-,1,-5.1348243,119.4316818
2,18,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
5,19,insinyur sutami,tamalanrea,4,6,5,-,-,1,-5.0891074,119.4804065
6,6,batara bira,biringkanaya,4,4,5,-,-,2,-5.0884975,119.5063692
6,9,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
6,8,tol reformasi,panakkukang,4,4,5,-,-,2,-5.1322943,119.4403875
5,11,borong jambu raya,manggala,1,8,4,1,-,-,-5.1745192,119.4883637
3,1,malengkeri,tamalate,1,4,4,-,-,1,-5.1875239,119.4339559
5,16,jenderal sudirman,ujung pandang,5,6,5,-,-,1,-5.1345222,119.4137962
4,18,perintis kemerdekaan,biringkanaya,5,6,7,-,-,-,-5.117784,119.5110136
4,1,cendrawasih,mariso,4,4,5,-,-,2,-5.155219,119.4137008
4,21,sam ratulangi,mariso,5,4,4,-,-,1,-5.1545549,119.4162792
6,11,veteran utara,makassar,6,4,4,-,-,1,-5.1392193,119.4233132
6,0,perintis kemerdekaan,biringkanaya,4,4,7,-,-,1,-5.117784,119.5110136
0,12,kijang,makassar,4,4,5,-,-,2,-5.1459573,119.4198203
1,20,andi mappaodang,tamalate,1,4,4,-,-,1,-5.1732205,119.4158686
0,23,pajaiang,biringkanaya,1,4,4,-,-,2,-5.1048027,119.5252166
4,4,dr. leimena,manggala,1,6,4,-,-,2,-5.1499864,119.4710753
6,22,malengkeri,tamalate,5,4,5,-,-,1,-5.1875239,119.4339559
4,18,perintis kemerdekaan,tamalanrea,1,4,4,-,-,1,-5.1402715,119.48329437389705
0,17,pintu bandar udara internasional sultan hasanuddin,biringkanaya,4,6,5,-,-,1,-5.0700203,119.5319159
0,20,paccerakkang,biringkanaya,1,4,4,-,-,1,-5.1239434,119.5224673
1,21,datuk ribandang,tallo,1,4,4,-,-,1,-5.1288411,119.4304187
2,7,kapasa raya,tamalanrea,1,4,4,-,-,1,-5.1029771,119.4940907
2,14,pattimura,ujung pandang,1,4,4,-,-,1,-5.1361062,119.4066711
0,9,sungai saddang,makassar,4,6,5,-,-,2,-5.1468435,119.4250654
0,16,urip sumuharjo,panakkukang,4,6,5,-,-,2,-5.1348243,119.4316818
3,18,perintis kemerdekaan 16,tamalanrea,4,4,5,-,-,2,-5.1346841,119.4971927
0,14,perintis kemerdekaan,biringkanaya,2,4,4,-,-,1,-5.117784,119.5110136
4,7,perintis kemerdekaan,biringkanaya,5,8,7,-,-,-,-5.117784,119.5110136
3,2,pettarani,rappocini,4,6,7,-,-,-,-5.1510383,119.4374766
2,18,jipang raya,rappocini,1,4,4,-,-,1,-5.1778861,119.4504384
1,17,kapasa raya,tamalanrea,1,4,4,-,-,1,-5.1029771,119.4940907
5,19,malengkeri,tamalate,5,4,5,-,-,1,-5.1875239,119.4339559
6,22,rajawali,mariso,4,8,5,1,-,-,-5.1487926,119.4096505
3,23,jenderal ahmad yani,ujung pandang,4,4,7,-,-,2,-5.1329527,119.4103466
6,18,manunggal,tamalate,6,4,4,-,-,1,-5.1694219,119.4055125
4,6,jenderal sudirman,ujung pandang,4,6,5,-,-,1,-5.1345222,119.4137962
5,19,perintis kemerdekaan,tamalanrea,6,4,4,-,-,1,-5.1402715,119.48329437389705
0,15,perintis kemerdekaan,biringkanaya,4,4,7,-,-,1,-5.117784,119.5110136
0,12,perintis kemerdekaan,biringkanaya,5,6,5,-,-,1,-5.117784,119.5110136
