address,district,lat,long,Cluster,Count,day,time,accident_types,suspect_vehicle,victim_vehicle,Color
boulevard,panakkukang,-5.1570791,119.447818,9,6,Wednesday,Evening,TK,R4,R4,#F21398
cendrawasih,mariso,-5.155219,119.4137008,0,6,Wednesday,Evening,OC,R2,NOV,#BB5AFE
cendrawasih,mariso,-5.155219,119.4137008,7,8,Wednesday,Morning,TK,R2,R2,#B5A66E
daeng tata raya,tamalate,-5.1850019,119.423432,14,6,Tuesday,Morning,TL,R2,R2,#036544
insinyur sutami,biringkanaya,-5.0682302,119.5245258,2,8,Wednesday,Afternoon,T,R2,NOV,#BDAD55
insinyur sutami,biringkanaya,-5.0682302,119.5245258,6,8,Thursday,Morning,OC,R2,NOV,#E32C08
insinyur sutami,tamalanrea,-5.0811953,119.5000284,0,9,Thursday,Evening,T,R2,NOV,#BB5AFE
insinyur sutami,tamalanrea,-5.0811953,119.5000284,2,10,Wednesday,Afternoon,OC,R2,NOV,#BDAD55
insinyur sutami,tamalanrea,-5.0811953,119.5000284,5,6,Tuesday,Evening,TK,R4,R2,#AE3F29
insinyur sutami,tamalanrea,-5.0811953,119.5000284,6,6,Tuesday,Morning,OC,R2,NOV,#E32C08
insinyur sutami,tamalanrea,-5.0811953,119.5000284,7,9,Wednesday,Morning,TK,R2,TR,#B5A66E
insinyur sutami,tamalanrea,-5.0811953,119.5000284,10,8,Sunday,Afternoon,TK,R2,R2,#4266A4
letjen hertasning,rappocini,-5.1630661,119.4444202,14,6,Monday,Morning,TL,R2,R2,#036544
metro tanjung bunga,mariso,-5.1523252,119.4054678,0,6,Friday,Night,OC,R2,NOV,#BB5AFE
metro tanjung bunga,tamalate,-5.1661576,119.3917443,0,16,Thursday,Night,OC,TR,NOV,#BB5AFE
metro tanjung bunga,tamalate,-5.1661576,119.3917443,1,7,Friday,Afternoon,TK,R4,R2,#6FCDB2
metro tanjung bunga,tamalate,-5.1661576,119.3917443,5,7,Friday,Evening,TK,R2,R4,#AE3F29
metro tanjung bunga,tamalate,-5.1661576,119.3917443,10,6,Monday,Afternoon,TK,R2,R2,#4266A4
paccerakkang,biringkanaya,-5.1239434,119.5224673,0,8,Friday,Evening,OC,R2,NOV,#BB5AFE
pajaiang,biringkanaya,-5.1048027,119.5252166,2,7,Monday,Afternoon,OC,R2,NOV,#BDAD55
pajaiang,biringkanaya,-5.1048027,119.5252166,6,6,Friday,Morning,TB,R2,R2,#E32C08
pengayoman,panakkukang,-5.1601369,119.4481629,1,6,Wednesday,Afternoon,TK,R2,R4,#6FCDB2
perintis kemerdekaan,biringkanaya,-5.0757471,119.5229217,0,16,Thursday,Evening,OC,R2,NOV,#BB5AFE
perintis kemerdekaan,biringkanaya,-5.0757471,119.5229217,1,12,Sunday,Afternoon,TK,R2,R4,#6FCDB2
perintis kemerdekaan,biringkanaya,-5.0757471,119.5229217,2,12,Friday,Afternoon,T,R2,NOV,#BDAD55
perintis kemerdekaan,biringkanaya,-5.0757471,119.5229217,3,10,Sunday,Night,TL,R2,R2,#E3C7F9
perintis kemerdekaan,biringkanaya,-5.0757471,119.5229217,5,42,Saturday,Evening,TK,R2,R4,#AE3F29
perintis kemerdekaan,biringkanaya,-5.0757471,119.5229217,6,10,Friday,Morning,T,R2,NOV,#E32C08
