day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,lat,long
Thursday,Evening,insinyur sutami,tamalanrea,T,R2,NOV,-5.085731,119.4904613
Sunday,Morning,tol reformasi,tamalanrea,TK,TR,R4,-5.1102172,119.4431934
Sunday,Afternoon,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.117784,119.5110136
Friday,Night,jenderal sudirman,ujung pandang,T,R2,NOV,-5.1345222,119.4137962
Sunday,Afternoon,tanjung alang,mamajang,TM,R2,NOV,-5.17081705,119.4042571
Monday,Night,urip sumuharjo,panakkukang,T,R4,NOV,-5.1348243,119.4316818
Saturday,Evening,lamadukelleng,ujung pandang,TL,R2,R2,-5.1414467,119.4107642
Friday,Afternoon,pettarani,panakkukang,TK,R4,R2,-5.1487126,119.4380057
Monday,Night,sungai saddang baru,makassar,TL,R2,R2,-5.1468435,119.4250654
Sunday,Afternoon,gagak,mariso,OC,R2,NOV,-5.1607133,119.4106525
Monday,Evening,boulevard,panakkukang,TL,R4,R4,-5.1557546,119.4411023
Monday,Evening,urip sumuharjo,panakkukang,TK,R2,R2,-5.1348243,119.4316818
Saturday,Morning,pettarani,tamalate,OC,R4,NOV,-5.1738401,119.4313806
Monday,Evening,tinumbu,bontoala,TM,R2,NOV,-5.1195488,119.4206733
Tuesday,Morning,kecaping,manggala,OC,R2,NOV,-5.1719111,119.5075228
Tuesday,Morning,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Wednesday,Morning,boulevard,panakkukang,TL,R4,NOV,-5.1557546,119.4411023
Friday,Morning,tamangapa raya,manggala,OC,R2,NOV,-5.1767373,119.4843844
Monday,Night,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Saturday,Evening,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Tuesday,Evening,insinyur sutami,tamalanrea,TK,R4,R2,-5.085731,119.4904613
Wednesday,Morning,batara bira,biringkanaya,TK,R2,R2,-5.0884975,119.5063692
Wednesday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Wednesday,Morning,tol reformasi,panakkukang,TK,R2,R2,-5.1322943,119.4403875
Tuesday,Morning,borong jambu raya,manggala,OC,TR,NOV,-5.1745192,119.4883637
Sunday,Night,malengkeri,tamalate,OC,R2,NOV,-5.1875239,119.4339559
Tuesday,Afternoon,jenderal sudirman,ujung pandang,TL,R4,R2,-5.1345222,119.4137962
Thursday,Evening,perintis kemerdekaan,biringkanaya,TL,R4,R4,-5.117784,119.5110136
Thursday,Night,cendrawasih,mariso,TK,R2,R2,-5.155219,119.4137008
Thursday,Evening,sam ratulangi,mariso,TL,R2,NOV,-5.1545549,119.4162792
Wednesday,Morning,veteran utara,makassar,TM,R2,NOV,-5.1392193,119.4233132
Wednesday,Night,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.117784,119.5110136
Friday,Afternoon,kijang,makassar,TK,R2,R2,-5.1459573,119.4198203
Monday,Evening,andi mappaodang,tamalate,OC,R2,NOV,-5.1732205,119.4158686
Friday,Night,pajaiang,biringkanaya,OC,R2,NOV,-5.1048027,119.5252166
Thursday,Night,dr. leimena,manggala,OC,R4,NOV,-5.1499864,119.4710753
Wednesday,Evening,malengkeri,tamalate,TL,R2,R2,-5.1875239,119.4339559
Thursday,Evening,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Friday,Afternoon,pintu bandar udara internasional sultan hasanuddin,biringkanaya,TK,R4,R2,-5.0700203,119.5319159
Friday,Evening,paccerakkang,biringkanaya,OC,R2,NOV,-5.1239434,119.5224673
Monday,Evening,datuk ribandang,tallo,OC,R2,NOV,-5.1288411,119.4304187
Saturday,Morning,kapasa raya,tamalanrea,OC,R2,NOV,-5.1029771,119.4940907
